"statement_number","statement_date","run_no","check_amount","owner_id","owner_name","operator","well_id","well_name","well_state","section","txn_date","description","reference","volume_bbl","price_per_bbl","gross_amount","interest_percent","statement_period","suspense_flag","owner_amount"
"76051","2026-02-24","021/2026","2853.90","1211","Ferox Operating Co.","BBL Operating Company","TX2S","Midnight Special","TX","Production Revenue","","","Truth Resources","2768.38","58.56","154644.59","2.25","2026/01","","3479.50"
"76051","2026-02-24","021/2026","2853.90","1211","Ferox Operating Co.","BBL Operating Company","TX2S","Midnight Special","TX","Production Revenue","","","Truth Resources","","","-300.00","2.25","2026/01","","-6.75"
"76051","2026-02-24","021/2026","2853.90","1211","Ferox Operating Co.","BBL Operating Company","TX2S","Midnight Special","TX","Production Revenue Summary","","","","","","154344.59","","","","3472.75"
"76051","2026-02-24","021/2026","2853.90","1211","Ferox Operating Co.","BBL Operating Company","TX2S","Midnight Special","TX","Well Expenses","2026-01-16","Insuranceumb","5953641","","","1210.27","5.5","2026/01","*","66.57"
"76051","2026-02-24","021/2026","2853.90","1211","Ferox Operating Co.","BBL Operating Company","TX2S","Midnight Special","TX","Well Expenses","2026-02-10","Insurance-GL","","","","477.00","3.0","2026/02","","14.31"
"76051","2026-02-24","021/2026","2853.90","1211","Ferox Operating Co.","BBL Operating Company","TX2S","Midnight Special","TX","Well Expenses","2026-02-03","Water Disposal","23772","","","540.00","3.0","2026/01","","16.20"
"76051","2026-02-24","021/2026","2853.90","1211","Ferox Operating Co.","BBL Operating Company","TX2S","Midnight Special","TX","Well Expenses","2026-02-06","Water Disposal","23905","","","270.00","3.0","2026/01","","8.10"
"76051","2026-02-24","021/2026","2853.90","1211","Ferox Operating Co.","BBL Operating Company","TX2S","Midnight Special","TX","Well Expenses","2026-02-06","Water Disposal","23883","","","525.60","3.0","2026/01","","15.77"
"76051","2026-02-24","021/2026","2853.90","1211","Ferox Operating Co.","BBL Operating Company","TX2S","Midnight Special","TX","Well Expenses","2025-12-30","Electric","","","","153.68","5.5","2026/01","*","8.45"
"76051","2026-02-24","021/2026","2853.90","1211","Ferox Operating Co.","BBL Operating Company","TX2S","Midnight Special","TX","Well Expenses","2026-01-05","Pumper Charge to Well","2447","","","550.00","5.5","2026/01","*","30.25"
"76051","2026-02-24","021/2026","2853.90","1211","Ferox Operating Co.","BBL Operating Company","TX2S","Midnight Special","TX","Well Expenses","2026-01-20","Chemical-truck treat 7/30","43035","","","147.96","5.5","2026/01","","8.14"
"76051","2026-02-24","021/2026","2853.90","1211","Ferox Operating Co.","BBL Operating Company","TX2S","Midnight Special","TX","Well Expenses","2026-01-26","Pumper Charge to Well","2465","","","550.00","3.0","2026/02","","16.50"
"76051","2026-02-24","021/2026","2853.90","1211","Ferox Operating Co.","BBL Operating Company","TX2S","Midnight Special","TX","Well Expenses","2026-02-04","Chemical- BC-1008","44308","","","1278.76","3.0","2026/02","","38.36"
"76051","2026-02-24","021/2026","2853.90","1211","Ferox Operating Co.","BBL Operating Company","TX2S","Midnight Special","TX","Well Expenses","2026-02-04","Electric","","","","155.64","3.0","2026/02","","4.67"
"76051","2026-02-24","021/2026","2853.90","1211","Ferox Operating Co.","BBL Operating Company","TX2S","Midnight Special","TX","Well Expenses","2026-02-04","Misc. LOE","","","","132.00","3.0","2026/02","","3.96"
"76051","2026-02-24","021/2026","2853.90","1211","Ferox Operating Co.","BBL Operating Company","TX2S","Midnight Special","TX","Well Expenses","2026-01-20","Chemical-truck treat","44434","","","348.75","3.0","2026/02","","10.46"
"76051","2026-02-24","021/2026","2853.90","1211","Ferox Operating Co.","BBL Operating Company","TX2S","Midnight Special","TX","Well Expenses","2026-01-20","Water Disposal","21345","","","252.00","3.0","2026/02","","7.56"
"76051","2026-02-24","021/2026","2853.90","1211","Ferox Operating Co.","BBL Operating Company","TX2S","Midnight Special","TX","Well Expenses","2026-02-09","Chemical/4067-E","44490","","","1339.17","3.0","2026/02","","40.18"
"76051","2026-02-24","021/2026","2853.90","1211","Ferox Operating Co.","BBL Operating Company","TX2S","Midnight Special","TX","Well Expenses","2026-02-09","Chemical/4067-E","44489","","","1339.17","3.0","2026/02","","40.18"
"76051","2026-02-24","021/2026","2853.90","1211","Ferox Operating Co.","BBL Operating Company","TX2S","Midnight Special","TX","Well Expenses","2026-02-04","Water Disposal","23836","","","540.00","3.0","2026/02","","16.20"
"76051","2026-02-24","021/2026","2853.90","1211","Ferox Operating Co.","BBL Operating Company","TX2S","Midnight Special","TX","Well Expenses","2026-02-02","Water Disposal","23756","","","1332.00","3.0","2026/02","","39.96"
"76051","2026-02-24","021/2026","2853.90","1211","Ferox Operating Co.","BBL Operating Company","TX2S","Midnight Special","TX","Well Expenses","2026-02-10","Treat Tank 2 loads 1/31","49900","","","860.00","3.0","2026/02","","25.80"
"76051","2026-02-24","021/2026","2853.90","1211","Ferox Operating Co.","BBL Operating Company","TX2S","Midnight Special","TX","Well Expenses","2026-02-10","Treat Tank 1/30","49898","","","860.00","3.0","2026/02","","25.80"
"76051","2026-02-24","021/2026","2853.90","1211","Ferox Operating Co.","BBL Operating Company","TX2S","Midnight Special","TX","Well Expenses","2026-02-10","Treat Tank 2 loads 1/27","49894","","","860.00","3.0","2026/02","","25.80"
"76051","2026-02-24","021/2026","2853.90","1211","Ferox Operating Co.","BBL Operating Company","TX2S","Midnight Special","TX","Well Expenses","2026-02-10","Treat Tank 2 loads 1/26","49893","","","860.00","3.0","2026/02","","25.80"
"76051","2026-02-24","021/2026","2853.90","1211","Ferox Operating Co.","BBL Operating Company","TX2S","Midnight Special","TX","Well Expenses","2026-02-10","Treat Tank-combined pull 1/13","49885","","","860.00","3.0","2026/02","","25.80"
"76051","2026-02-24","021/2026","2853.90","1211","Ferox Operating Co.","BBL Operating Company","TX2S","Midnight Special","TX","Well Expenses","2026-02-10","transfer oil 1/12","49883","","","260.00","3.0","2026/02","","7.80"
"76051","2026-02-24","021/2026","2853.90","1211","Ferox Operating Co.","BBL Operating Company","TX2S","Midnight Special","TX","Well Expenses","2026-01-23","Chemical TBC-55","44610","","","438.27","3.0","2026/02","","13.15"
"76051","2026-02-24","021/2026","2853.90","1211","Ferox Operating Co.","BBL Operating Company","TX2S","Midnight Special","TX","Well Expenses","2026-02-13","Chemical TBC 55","44609","","","1205.25","3.0","2026/02","","36.16"
"76051","2026-02-24","021/2026","2853.90","1211","Ferox Operating Co.","BBL Operating Company","TX2S","Midnight Special","TX","Well Expenses","2026-02-17","Producing Well Rate","","","","1200.00","3.0","2026/02","","36.00"
"76051","2026-02-24","021/2026","2853.90","1211","Ferox Operating Co.","BBL Operating Company","TX2S","Midnight Special","TX","Well Expenses","2026-01-31","Treat Tank-pulled st tank","6398","","","364.00","3.0","2026/02","","10.92"
"76051","2026-02-24","021/2026","2853.90","1211","Ferox Operating Co.","BBL Operating Company","TX2S","Midnight Special","TX","Well Expenses Summary","","","","","","18909.52","","","","618.85"
